time,latitude,longitude,depth_km,magnitude,magnitude_type,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp
1988-03-13T11:31:32.200000Z,-33.67,-72.27,42.0,5.83,Mwc,3.808e+17,1.039e+17,-4.848e+17,1.965e+17,-4.954e+17,-1.273e+17
1988-05-21T14:28:39.300000Z,-32.89,-71.75,42.0,6.11,Mwc,1.62e+17,-1.35e+17,-2.7e+16,1.85e+17,-1.81e+18,-1.23e+17
1988-11-14T16:55:33.700000Z,-32.58,-71.76,50.0,5.11,Mwc,5.246e+16,-1.422e+16,-3.825e+16,1.405e+16,-3.085e+16,7550000000000000.0
1989-04-01T21:58:13.000000Z,-32.87,-70.06,100.0,5.3,Mwc,-4.807e+16,-1.821e+16,6.628e+16,-1.821e+16,-9.198e+16,-3970000000000000.0
1990-04-02T13:56:34.600000Z,-32.57,-71.97,39.0,5.63,Mwc,2.918e+17,6.89e+16,-3.607e+17,5.19e+16,-1.147e+17,3.06e+16
1990-10-11T04:25:24.200000Z,-33.7,-72.06,30.0,5.41,Mwc,5.3e+16,-5500000000000000.0,-4.76e+16,-1e+16,-1.539e+17,1.44e+16
1992-04-10T09:33:07.200000Z,-33.96,-71.96,32.0,5.1,Mwc,-140000000000000.0,3.587e+16,-3.573e+16,-890000000000000.0,3.499e+16,-2.812e+16
1992-05-03T03:40:40.000000Z,-32.28,-71.48,61.0,5.49,Mwc,2.31e+16,-2.9e+16,5900000000000000.0,6.59e+16,-2.071e+17,4200000000000000.0
1992-05-18T03:02:21.100000Z,-33.61,-72.03,28.0,6.09,Mwc,4.69e+17,-9.7e+16,-3.73e+17,3.37e+17,-1.655e+18,-7e+16
1992-05-22T01:20:38.600000Z,-33.7,-72.04,33.0,5.55,Mwc,1.865e+17,-1.54e+16,-1.711e+17,6600000000000000.0,-1.971e+17,1200000000000000.0
1993-07-16T21:21:26.400000Z,-33.13,-71.95,31.0,5.63,Mwc,1.913e+17,1.27e+16,-2.041e+17,8.7e+16,-2.714e+17,1.82e+16
1993-12-04T23:16:52.800000Z,-33.83,-71.86,53.0,5.6,Mwc,1.159e+17,1.79e+16,-1.338e+17,1.016e+17,-2.758e+17,-3.2e+16
1994-06-16T00:47:23.900000Z,-32.65,-71.89,33.0,5.06,Mwc,3.409e+16,-2630000000000000.0,-3.146e+16,1.205e+16,-3.362e+16,190000000000000.0
1994-09-17T12:22:14.800000Z,-32.19,-71.67,28.0,5.66,Mwc,2.933e+17,5500000000000000.0,-2.988e+17,-8.63e+16,-2.241e+17,-9.24e+16
1994-09-22T14:24:34.100000Z,-32.22,-71.86,27.0,5.44,Mwc,6.07e+16,-1.331e+17,7.24e+16,-8.95e+16,1.017e+17,3.31e+16
1994-10-11T01:37:20.800000Z,-32.11,-71.44,51.0,5.71,Mwc,2.887e+17,-2.085e+17,-8.02e+16,-4.57e+16,-3.705e+17,1.722e+17
1995-07-01T09:14:54.100000Z,-33.98,-72.35,33.0,5.19,Mwc,5.969e+16,-1.03e+16,-4.938e+16,1.746e+16,-5.079e+16,-550000000000000.0
1995-11-21T18:17:04.500000Z,-33.27,-71.99,40.0,5.7,Mwc,2.851e+17,-1.14e+16,-2.737e+17,-1.42e+16,-3.457e+17,9700000000000000.0
1996-02-22T13:40:53.500000Z,-33.69,-71.71,44.0,5.86,Mwc,5.769e+17,-5.615e+17,-1.54e+16,-1.019e+17,3.726e+17,3.827e+17
1997-03-25T00:14:44.600000Z,-33.48,-70.55,84.0,5.49,Mwc,-6.04e+16,-1.123e+17,1.727e+17,-1.128e+17,-8000000000000000.0,1.068e+17
